protein1,protein2,pred
PF3D7_1004000,PF3D7_0614500,0.300191487127466
PF3D7_1004000,PF3D7_1426000,0.358189636871017
PF3D7_1004000,PF3D7_0217800,0.343778874882541
PF3D7_1004000,PF3D7_1130100,0.83511649753369
PF3D7_1004000,PF3D7_1130200,0.278251539934542
PF3D7_1004000,PF3D7_1341200,0.306351745799533
PF3D7_1004000,PF3D7_1309100,0.280017785510108
PF3D7_1004000,PF3D7_1447000,0.394935689732331
PF3D7_1004000,PF3D7_1341300,0.274546822872763
PF3D7_1004000,PF3D7_0516900,0.229451551470556
PF3D7_1004000,PF3D7_1424100,0.285324318606167
PF3D7_1004000,PF3D7_0706400,0.208480431737119
PF3D7_0507100,PF3D7_1124900,0.825066935019011
PF3D7_0507100,PF3D7_1323100,0.884365366122936
PF3D7_0507100,PF3D7_1424400,0.861724632133255
PF3D7_0507100,PF3D7_0618300,0.885729936228352
PF3D7_0507100,PF3D7_1414300,0.747144577188535
PF3D7_0507100,PF3D7_0814000,0.921181448525071
PF3D7_0507100,PF3D7_1431700,0.855252047785003
PF3D7_0507100,PF3D7_1342000,0.479236764629189
PF3D7_0507100,PF3D7_1351400,0.850233166192539
PF3D7_0507100,PF3D7_0307200,0.904554057373927
PF3D7_0507100,PF3D7_0519400,0.601229947300906
PF3D7_0507100,PF3D7_0710600,0.733614387960399
PF3D7_0507100,PF3D7_1460700,0.669682277215655
PF3D7_0507100,PF3D7_1323400,0.6762765316281
PF3D7_0507100,PF3D7_1144000,0.616181295779242
PF3D7_0507100,PF3D7_1461300,0.485078099402989
PF3D7_0507100,PF3D7_1105400,0.585901344728607
PF3D7_0507100,PF3D7_1302800,0.545412445848766
PF3D7_0507100,PF3D7_1331800,0.673415968211295
PF3D7_0507100,PF3D7_0517000,0.674937609063188
PF3D7_0507100,PF3D7_1408600,0.542238781505001
PF3D7_0507100,PF3D7_0721600,0.451871832518662
PF3D7_0507100,PF3D7_1109900,0.49578523603759
PF3D7_0507100,PF3D7_0520000,0.475418931297588
PF3D7_0507100,PF3D7_1421200,0.603795704081994
PF3D7_0507100,PF3D7_0422400,0.489908619157587
PF3D7_0507100,PF3D7_1027800,0.490321879046384
PF3D7_0507100,PF3D7_1019400,0.494827886351477
PF3D7_0507100,PF3D7_1358800,0.565228689604155
PF3D7_0507100,PF3D7_1338200,0.459487268189616
PF3D7_0507100,PF3D7_1441200,0.421149602987471
PF3D7_0507100,PF3D7_0614500,0.339302482785404
PF3D7_0507100,PF3D7_1426000,0.345596173045708
PF3D7_0507100,PF3D7_0217800,0.319466567462501
PF3D7_0507100,PF3D7_1130100,0.858647298822934
PF3D7_0507100,PF3D7_1130200,0.304627579088268
PF3D7_0507100,PF3D7_1341200,0.259298171627513
PF3D7_0507100,PF3D7_1309100,0.289547918710182
PF3D7_0507100,PF3D7_1447000,0.368386635686918
PF3D7_0507100,PF3D7_1341300,0.333052743447361
PF3D7_0507100,PF3D7_0516900,0.169892649996897
PF3D7_0507100,PF3D7_1424100,0.282190152196049
PF3D7_0507100,PF3D7_0706400,0.246159361971346
PF3D7_1124900,PF3D7_1323100,0.750784078821266
PF3D7_1124900,PF3D7_1424400,0.81467998799833
PF3D7_1124900,PF3D7_0618300,0.65086683509881
PF3D7_1124900,PF3D7_1414300,0.712475915050006
PF3D7_1124900,PF3D7_0814000,0.707620049634249
PF3D7_1124900,PF3D7_1431700,0.617155692737009
PF3D7_1124900,PF3D7_1342000,0.536350474963425
PF3D7_1124900,PF3D7_1351400,0.760169633610632
PF3D7_1124900,PF3D7_0307200,0.807463855212952
PF3D7_1124900,PF3D7_0519400,0.515500664523819
PF3D7_1124900,PF3D7_0710600,0.564458391463869
PF3D7_1124900,PF3D7_1460700,0.593014477997441
PF3D7_1124900,PF3D7_1323400,0.771623158468312
PF3D7_1124900,PF3D7_1144000,0.451974948135303
PF3D7_1124900,PF3D7_1461300,0.483596302253061
PF3D7_1124900,PF3D7_1105400,0.481617792727938
PF3D7_1124900,PF3D7_1331800,0.442060843430979
PF3D7_1124900,PF3D7_0517000,0.512968512161414
PF3D7_1124900,PF3D7_0721600,0.401288512626492
PF3D7_1124900,PF3D7_1109900,0.399769894178207
PF3D7_1124900,PF3D7_0520000,0.425265810256638
PF3D7_1124900,PF3D7_1421200,0.489489547059544
